surname,name,patronymic,phone_number,date_of_birth,time_create,time_update,region,type_of_user
Surname 1,Name 1,Patronymic 1,380500000001,1990-12-08,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,1,1
Surname 2,Name 2,Patronymic 2,380500000002,1990-12-09,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,2,2
Surname 3,Name 3,Patronymic 3,380500000003,1990-12-10,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,3,3
Surname 4,Name 4,Patronymic 4,380500000004,1990-12-11,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,4,4
Surname 5,Name 5,Patronymic 5,380500000005,1990-12-12,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,5,1
Surname 6,Name 6,Patronymic 6,380500000006,1990-12-13,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,6,2
Surname 7,Name 7,Patronymic 7,380500000007,1990-12-14,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,7,3
Surname 8,Name 8,Patronymic 8,380500000008,1990-12-15,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,8,4
Surname 9,Name 9,Patronymic 9,380500000009,1990-12-16,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,9,1
Surname 10,Name 10,Patronymic 10,380500000010,1990-12-17,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,10,2
Surname 11,Name 11,Patronymic 11,380500000011,1990-12-18,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,11,3
Surname 12,Name 12,Patronymic 12,380500000012,1990-12-19,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,12,4
Surname 13,Name 13,Patronymic 13,380500000013,1990-12-20,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,13,1
Surname 14,Name 14,Patronymic 14,380500000014,1990-12-21,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,14,2
Surname 15,Name 15,Patronymic 15,380500000015,1990-12-22,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,15,3
Surname 16,Name 16,Patronymic 16,380500000016,1990-12-23,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,16,4
Surname 17,Name 17,Patronymic 17,380500000017,1990-12-24,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,17,1
Surname 18,Name 18,Patronymic 18,380500000018,1990-12-25,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,18,2
Surname 19,Name 19,Patronymic 19,380500000019,1990-12-26,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,19,3
Surname 20,Name 20,Patronymic 20,380500000020,1990-12-27,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,20,4
Surname 21,Name 21,Patronymic 21,380500000021,1990-12-28,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,21,1
Surname 22,Name 22,Patronymic 22,380500000022,1990-12-29,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,22,2
Surname 23,Name 23,Patronymic 23,380500000023,1990-12-30,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,23,3
Surname 24,Name 24,Patronymic 24,380500000024,1990-12-31,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,24,4
Surname 25,Name 25,Patronymic 25,380500000025,1991-01-01,2023-12-08 12:32:35.308,2023-12-08 12:32:35.308,25,1
