full_name,phone_number,date_of_birth,time_create,time_update,region,type_of_user
full_name 1,380500000101,1990-11-08,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,1,1
full_name 2,380500000102,1990-11-09,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,2,2
full_name 3,380500000103,1990-11-10,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,3,3
full_name 4,380500000104,1990-11-11,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,4,4
full_name 5,380500000105,1990-11-12,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,5,1
full_name 6,380500000106,1990-11-13,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,6,2
full_name 7,380500000107,1990-11-14,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,7,3
full_name 8,380500000108,1990-11-15,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,8,4
full_name 9,380500000109,1990-11-16,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,9,1
full_name 10,380500000110,1990-11-17,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,10,2
full_name 11,380500000111,1990-11-18,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,11,3
full_name 12,380500000112,1990-11-19,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,12,4
full_name 13,380500000113,1990-11-20,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,13,1
full_name 14,380500000114,1990-11-21,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,14,2
full_name 15,380500000115,1990-11-22,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,15,3
full_name 16,380500000116,1990-11-23,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,16,4
full_name 17,380500000117,1990-11-24,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,17,1
full_name 18,380500000118,1990-11-25,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,18,2
full_name 19,380500000119,1990-11-26,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,19,3
full_name 20,380500000120,1990-11-27,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,20,4
full_name 21,380500000121,1990-11-28,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,21,1
full_name 22,380500000122,1990-11-29,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,22,2
full_name 23,380500000123,1990-11-30,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,23,3
full_name 24,380500000124,1990-12-01,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,24,4
full_name 25,380500000125,1990-12-02,2023-12-08 12:34:10.733481,2023-12-08 12:34:10.733481,25,1
